ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count
GO:0060337;type I interferon signaling pathway;25/26;95/18862;2.92637565935164e-58;1.12564898002311e-55;7.3509220229055e-56;STAT1/MX2/IFIT2/OAS1/IFITM1/IFIT3/OAS3/IFI35/IRF2/IRF9/IFI6/XAF1/SAMHD1/MX1/RSAD2/IRF1/PSMB8/IFIT1/IFITM3/GBP2/BST2/OAS2/IFI27/ADAR/OASL;25
GO:0071357;cellular response to type I interferon;25/26;96/18862;3.95658692451004e-58;1.12564898002311e-55;7.3509220229055e-56;STAT1/MX2/IFIT2/OAS1/IFITM1/IFIT3/OAS3/IFI35/IRF2/IRF9/IFI6/XAF1/SAMHD1/MX1/RSAD2/IRF1/PSMB8/IFIT1/IFITM3/GBP2/BST2/OAS2/IFI27/ADAR/OASL;25
GO:0034340;response to type I interferon;25/26;101/18862;1.69590647035428e-57;3.21656927210528e-55;2.10054380363179e-55;STAT1/MX2/IFIT2/OAS1/IFITM1/IFIT3/OAS3/IFI35/IRF2/IRF9/IFI6/XAF1/SAMHD1/MX1/RSAD2/IRF1/PSMB8/IFIT1/IFITM3/GBP2/BST2/OAS2/IFI27/ADAR/OASL;25
GO:0051607;defense response to virus;22/26;260/18862;6.73555279994697e-38;7.66505908633965e-36;5.00557923869743e-36;STAT1/MX2/IFIT2/OAS1/IFITM1/IFIT3/OAS3/IRF2/IRF9/IFI6/SAMHD1/MX1/RSAD2/IRF1/IFIT1/IFITM3/IFIT5/BST2/OAS2/IFI27/ADAR/OASL;22
GO:0140546;defense response to symbiont;22/26;260/18862;6.73555279994697e-38;7.66505908633965e-36;5.00557923869743e-36;STAT1/MX2/IFIT2/OAS1/IFITM1/IFIT3/OAS3/IRF2/IRF9/IFI6/SAMHD1/MX1/RSAD2/IRF1/IFIT1/IFITM3/IFIT5/BST2/OAS2/IFI27/ADAR/OASL;22
GO:0009615;response to virus;22/26;359/18862;1.03259135348201e-34;9.79240800218776e-33;6.39482013647633e-33;STAT1/MX2/IFIT2/OAS1/IFITM1/IFIT3/OAS3/IRF2/IRF9/IFI6/SAMHD1/MX1/RSAD2/IRF1/IFIT1/IFITM3/IFIT5/BST2/OAS2/IFI27/ADAR/OASL;22
GO:0045069;regulation of viral genome replication;12/26;83/18862;2.11155158024951e-22;1.7163897845171e-20;1.12086873357605e-20;OAS1/IFITM1/OAS3/MX1/RSAD2/IFIT1/IFITM3/IFIT5/BST2/OAS2/ADAR/OASL;12
GO:0045071;negative regulation of viral genome replication;11/26;54/18862;2.66868667703565e-22;1.89810339904161e-20;1.2395347328863e-20;OAS1/IFITM1/OAS3/MX1/RSAD2/IFIT1/IFITM3/IFIT5/BST2/OAS2/OASL;11
GO:0019079;viral genome replication;13/26;129/18862;3.71540469787497e-22;2.3489614145454e-20;1.53396240742674e-20;OAS1/IFITM1/OAS3/MX1/RSAD2/IFIT1/IFITM3/IFIT5/BST2/OAS2/IFI27/ADAR/OASL;13
GO:0048525;negative regulation of viral process;12/26;89/18862;5.15400244267576e-22;2.93262738988251e-20;1.91511880238373e-20;STAT1/OAS1/IFITM1/OAS3/MX1/RSAD2/IFIT1/IFITM3/IFIT5/BST2/OAS2/OASL;12
GO:0050792;regulation of viral process;13/26;186/18862;5.07237599414224e-20;2.62380176424267e-18;1.71344375687293e-18;STAT1/OAS1/IFITM1/OAS3/MX1/RSAD2/IFIT1/IFITM3/IFIT5/BST2/OAS2/ADAR/OASL;13
GO:0043903;regulation of biological process involved in symbiotic interaction;13/26;197/18862;1.08931470071308e-19;5.16516720588119e-18;3.37305341536594e-18;STAT1/OAS1/IFITM1/OAS3/MX1/RSAD2/IFIT1/IFITM3/IFIT5/BST2/OAS2/ADAR/OASL;13
GO:1903900;regulation of viral life cycle;12/26;148/18862;3.04059437582653e-19;1.33084476911177e-17;8.69092967341511e-18;OAS1/IFITM1/OAS3/MX1/RSAD2/IFIT1/IFITM3/IFIT5/BST2/OAS2/ADAR/OASL;12
GO:0034341;response to interferon-gamma;12/26;197/18862;1.02138144163153e-17;4.15118600205959e-16;2.7108845781649e-16;STAT1/OAS1/IFITM1/OAS3/IRF2/IRF9/IRF1/IFITM3/GBP2/BST2/OAS2/OASL;12
GO:0019058;viral life cycle;13/26;348/18862;1.92435112659384e-16;7.29970527354595e-15;4.76698910657982e-15;OAS1/IFITM1/OAS3/MX1/RSAD2/IFIT1/IFITM3/IFIT5/BST2/OAS2/IFI27/ADAR/OASL;13
GO:0035455;response to interferon-alpha;7/26;21/18862;4.48780813515536e-16;1.59597676806463e-14;1.04223438928279e-14;MX2/IFIT2/IFITM1/IFIT3/IFITM3/BST2/ADAR;7
GO:0060333;interferon-gamma-mediated signaling pathway;9/26;91/18862;2.75624624976235e-15;9.22531833008692e-14;6.02448870691089e-14;STAT1/OAS1/OAS3/IRF2/IRF9/IRF1/GBP2/OAS2/OASL;9
GO:0071346;cellular response to interferon-gamma;9/26;177/18862;1.25277364539718e-12;3.96015669017218e-11;2.58613506915323e-11;STAT1/OAS1/OAS3/IRF2/IRF9/IRF1/GBP2/OAS2/OASL;9
GO:0035456;response to interferon-beta;6/26;31/18862;2.65141860265327e-12;7.94030097320901e-11;5.18532280740501e-11;STAT1/IFITM1/XAF1/IRF1/IFITM3/BST2;6
GO:0032069;regulation of nuclease activity;4/26;22/18862;2.03964420475652e-08;5.80278776253229e-07;3.78944423304763e-07;OAS1/OAS3/OAS2/OASL;4
GO:0002831;regulation of response to biotic stimulus;7/26;420/18862;1.17784058156599e-06;3.19138709957641e-05;2.08409887364808e-05;STAT1/IFI35/SAMHD1/IRF1/PSMB8/IFIT1/ADAR;7
GO:0045088;regulation of innate immune response;6/26;315/18862;3.59313062688488e-06;9.29314239407953e-05;6.068780436796e-05;STAT1/IFI35/SAMHD1/IRF1/PSMB8/ADAR;6
GO:1903901;negative regulation of viral life cycle;3/26;24/18862;4.61632777365182e-06;0.000114203934922082;7.45795745583109e-05;IFITM1/IFITM3/BST2;3
GO:0035457;cellular response to interferon-alpha;2/26;11/18862;9.97257100867994e-05;0.00226975716157555;0.00148223897518485;IFIT2/IFIT3;2
GO:0070142;synaptic vesicle budding;2/26;11/18862;9.97257100867994e-05;0.00226975716157555;0.00148223897518485;MX2/MX1;2
GO:0034121;regulation of toll-like receptor signaling pathway;3/26;77/18862;0.000158948346689764;0.00347852343332599;0.00227160997495898;IFI35/RSAD2/IRF1;3
GO:0060339;negative regulation of type I interferon-mediated signaling pathway;2/26;15/18862;0.000189740659722976;0.00385580126365619;0.00251798695045904;SAMHD1/ADAR;2
GO:0090148;membrane fission;2/26;15/18862;0.000189740659722976;0.00385580126365619;0.00251798695045904;MX2/MX1;2
GO:0002566;somatic diversification of immune receptors via somatic mutation;2/26;16/18862;0.0002166626644416;0.0042510708988714;0.00277611326852577;SAMHD1/ADAR;2
GO:0098884;postsynaptic neurotransmitter receptor internalization;2/26;18/18862;0.000275776840149746;0.00506183942081308;0.00330557638617522;MX2/MX1;2
GO:0140239;postsynaptic endocytosis;2/26;18/18862;0.000275776840149746;0.00506183942081308;0.00330557638617522;MX2/MX1;2
GO:0046597;negative regulation of viral entry into host cell;2/26;20/18862;0.000341887786684453;0.00607919220698293;0.00396994699669776;IFITM1/IFITM3;2
GO:0062207;regulation of pattern recognition receptor signaling pathway;3/26;105/18862;0.000397046628015804;0.0068460464042725;0.00447073236649374;IFI35/RSAD2/IRF1;3
