gene_id,symbol,biotype,logFC,logCPM,F,PValue,FDR,regulation
ENSG00000186007,LEMD1,protein_coding,4.71852761782984,4.25196996102199,91.5065899472729,1.69176148394532e-08,4.0280840932738e-06,Up
ENSG00000134326,CMPK2,protein_coding,4.66532832357547,5.77728654052484,15.886407167248,0.000874309520834714,0.0135177335656328,Up
ENSG00000185745,IFIT1,protein_coding,3.89452755950433,6.94539052330391,94.5238633113831,1.44117815212195e-08,3.67654840735968e-06,Up
ENSG00000134321,RSAD2,protein_coding,3.71827224807483,7.25304854286798,11.4605419098946,0.00331541652774125,0.0353991334195153,Up
ENSG00000111335,OAS2,protein_coding,3.62206111288256,5.46534679728707,10.5884043604974,0.00442897754217313,0.0437568279166565,Up
ENSG00000119917,IFIT3,protein_coding,3.46916749342683,8.60304312939801,58.1586008020781,4.97110911969449e-07,5.82108728557013e-05,Up
ENSG00000196218,RYR1,protein_coding,3.44336534554349,4.00738677753835,18.6854447283153,0.000596868840425552,0.0102237095249914,Up
ENSG00000089127,OAS1,protein_coding,3.42670067596663,5.7352956710037,24.3429977220417,0.00010867244580174,0.00281249014623851,Up
ENSG00000185885,IFITM1,protein_coding,3.37149994580478,9.22045289935044,56.5216659586274,6.05828623371989e-07,6.76820970280547e-05,Up
ENSG00000157601,MX1,protein_coding,3.3426397653305,8.49617723291912,134.123100083911,9.4619404827161e-10,5.79847549884958e-07,Up
ENSG00000130303,BST2,protein_coding,3.27568967894858,6.90149101807728,36.0451683941614,1.14230581809384e-05,0.000524201693651942,Up
ENSG00000136514,RTP4,protein_coding,3.15410996841351,3.51176557381062,12.3566561404134,0.00245863657167735,0.0294369744409999,Up
ENSG00000259052,,lncRNA,2.79442360928536,3.93451726650887,10.3027671732838,0.00488058722662954,0.0471746069821581,Up
ENSG00000133106,EPSTI1,protein_coding,2.66210150261008,4.9531068654869,11.1291980194554,0.00369659865632784,0.0384909682247081,Up
ENSG00000132530,XAF1,protein_coding,2.60564673307998,4.25307473993047,10.3674218890882,0.00476625402330564,0.0463202074673091,Up
ENSG00000130775,THEMIS2,protein_coding,2.59862396906442,4.02866483126494,16.1353827019565,0.000802774567862872,0.0125475245913446,Up
ENSG00000107317,PTGDS,protein_coding,2.46433429323626,4.20258216583447,29.7495499760128,3.57265339575965e-05,0.00124486926506676,Up
ENSG00000187608,ISG15,protein_coding,2.4530460897432,7.32604701567335,14.1124879239465,0.00145504694804727,0.0199741801346012,Up
ENSG00000119922,IFIT2,protein_coding,2.40084987616978,8.41764361911439,11.098962322899,0.00373375896160303,0.0387086215714521,Up
ENSG00000137959,IFI44L,protein_coding,2.31755320034487,6.64134658432377,41.7875357097863,4.52552628555251e-06,0.00029387122052456,Up
ENSG00000151790,TDO2,protein_coding,2.26425381155441,3.71941158445171,55.8795479909984,1.89503128590914e-05,0.000777943015818909,Up
ENSG00000162804,SNED1,protein_coding,2.13465923828258,4.05700320473723,41.1114628991242,4.80224915663207e-06,0.000309031222755161,Up
ENSG00000246339,EXTL3-AS1,lncRNA,2.12865547184925,3.68169955926512,33.3107298089395,1.77508896388896e-05,0.000737177934247608,Up
ENSG00000126709,IFI6,protein_coding,2.11099407330643,8.12517871288466,27.0179298111257,6.15835535268709e-05,0.00187187796954229,Up
ENSG00000138642,HERC6,protein_coding,2.09814845513391,5.81966109031741,22.3526616598789,0.000170053832011352,0.00396958994136304,Up
ENSG00000205560,CPT1B,protein_coding,2.07634102077432,5.29196732952147,148.199227752544,3.79249121987605e-10,3.38622059794683e-07,Up
ENSG00000184557,SOCS3,protein_coding,2.072766229691,7.21079426910175,12.1584319975837,0.00264828369142132,0.0305600814342851,Up
ENSG00000178809,TRIM73,protein_coding,2.0696680093904,4.02165179981453,17.7271926589441,0.000531133329668639,0.00953237531111329,Up
ENSG00000151136,BTBD11,protein_coding,1.96361194429092,3.9128538970675,30.1977779455286,0.000159039988260239,0.00373691656625949,Up
