gene_id,symbol,biotype,logFC,logCPM,F,PValue,FDR,regulation
ENSG00000169245,CXCL10,protein_coding,6.19956958120843,8.06800107258938,76.9589257082206,6.56857138118086e-08,1.6696671084657e-06,Up
ENSG00000138755,CXCL9,protein_coding,6.04919189459574,5.84869119936376,37.8944646976742,4.98462635681818e-05,0.000294671281867152,Up
ENSG00000225492,GBP1P1,transcribed_unprocessed_pseudogene,5.87008307857091,3.27160575116873,48.0220479196812,1.51233164977437e-05,0.000111161570724338,Up
ENSG00000169248,CXCL11,protein_coding,5.86116819572399,6.89588685536417,63.1047515392578,9.58373059125629e-07,1.34172228277588e-05,Up
ENSG00000108700,CCL8,protein_coding,5.79719502474401,6.03171600422193,28.6107602989946,0.000176198473867434,0.00082379935659618,Up
ENSG00000119922,IFIT2,protein_coding,5.17753650014626,8.38480510591665,137.200494768253,7.66841112580751e-10,7.867999908534e-08,Up
ENSG00000134321,RSAD2,protein_coding,5.12144662098015,7.21768852565676,146.204876159708,4.60661332724836e-10,5.39117715954534e-08,Up
ENSG00000168334,XIRP1,protein_coding,5.08813185469129,4.27282204470257,24.7402050811528,0.000326817837969096,0.00135942969255631,Up
ENSG00000131203,IDO1,protein_coding,5.06194330245034,5.94807024797318,30.039575531197,0.000142439034574892,0.000691873131625125,Up
ENSG00000200320,SNORA63,snoRNA,5.04712671432845,4.75699936110106,8.8146928233534,0.00823801699678043,0.0192460222413866,Up
ENSG00000162772,ATF3,protein_coding,4.70237027828227,7.74826568528377,654.464172586899,1.14945405967465e-15,4.30470545348156e-12,Up
ENSG00000167772,ANGPTL4,protein_coding,4.65400614979869,7.10170167718929,109.662836501783,4.48749559511351e-09,2.54289320577125e-07,Up
ENSG00000154451,GBP5,protein_coding,4.55786262672122,5.42442479731216,97.8709231855544,1.07952618335484e-08,4.58970069497438e-07,Up
ENSG00000162654,GBP4,protein_coding,4.52812811361054,4.65685525410089,44.4199149897285,2.35414674384254e-05,0.000159426393412122,Up
ENSG00000113263,ITK,protein_coding,4.40889347486582,5.08594413085601,77.7891540800073,6.06916110814157e-08,1.58390302090524e-06,Up
